arm,problem,passed,latency_ms_isolated,baseline_ms,speedup_vs_pytorch,llm_calls,total_tokens,wall_s,iterations
mcts,01_square_matrix_multiplication,True,2.3556402587890624,5.651968002319336,2.3993341008804037,46,738973,,"[{'episode': 0, 'iteration': 1, 'search_mode': 'mcts', 'num_plans': 2, 'num_results': 2, 'num_experiences': 10, 'tree': {'total_nodes': 13, 'max_depth_reached': 2, 'expansions': 2, 'best_latency_ms': 2.2179839611053467}, 'candidates': [{'solution_path': 'problems/kb_level1/01_square_matrix_multiplication_initial.py', 'latency_ms': 2.2179839611053467, 'hw_metrics': None}]}, {'episode': 0, 'iteration': 2, 'search_mode': 'mcts', 'num_plans': 4, 'num_results': 4, 'num_experiences': 16, 'tree': {'total_nodes': 25, 'max_depth_reached': 3, 'expansions': 4, 'best_latency_ms': 2.1391360759735107}, 'candidates': [{'solution_path': 'problems/kb_level1/01_square_matrix_multiplication_initial.py', 'latency_ms': 2.1391360759735107, 'hw_metrics': None}]}, {'episode': 0, 'iteration': 3, 'search_mode': 'mcts', 'num_plans': 5, 'num_results': 5, 'num_experiences': 16, 'tree': {'total_nodes': 26, 'max_depth_reached': 3, 'expansions': 5, 'best_latency_ms': 2.1391360759735107}, 'candidates': [{'solution_path': 'problems/kb_level1/01_square_matrix_multiplication_initial.py', 'latency_ms': 2.1391360759735107, 'hw_metrics': None}]}]"
mcts,18_Matmul_Sum_Max_AvgPool_LogSumExp_LogSumExp,True,0.040919041633605956,6.8239359855651855,166.76675975619207,53,467696,,"[{'episode': 0, 'iteration': 1, 'search_mode': 'mcts', 'num_plans': 2, 'num_results': 2, 'num_experiences': 11, 'tree': {'total_nodes': 16, 'max_depth_reached': 2, 'expansions': 2, 'best_latency_ms': 0.0465759988874197}, 'candidates': [{'solution_path': 'problems/kb_level2/18_Matmul_Sum_Max_AvgPool_LogSumExp_LogSumExp_initial.py', 'latency_ms': 0.0465759988874197, 'hw_metrics': None}]}, {'episode': 0, 'iteration': 2, 'search_mode': 'mcts', 'num_plans': 4, 'num_results': 4, 'num_experiences': 16, 'tree': {'total_nodes': 30, 'max_depth_reached': 4, 'expansions': 4, 'best_latency_ms': 0.04608000069856644}, 'candidates': [{'solution_path': 'problems/kb_level2/18_Matmul_Sum_Max_AvgPool_LogSumExp_LogSumExp_initial.py', 'latency_ms': 0.04608000069856644, 'hw_metrics': None}]}]"
mcts,30_Gemm_GroupNorm_Hardtanh,True,4.805275268554688,7.113728046417236,1.4803996959276957,44,554573,,"[{'episode': 0, 'iteration': 1, 'search_mode': 'mcts', 'num_plans': 2, 'num_results': 2, 'num_experiences': 10, 'tree': {'total_nodes': 7, 'max_depth_reached': 1, 'expansions': 2, 'best_latency_ms': 4.284416198730469}, 'candidates': [{'solution_path': 'problems/kb_level2/30_Gemm_GroupNorm_Hardtanh_initial.py', 'latency_ms': 4.284416198730469, 'hw_metrics': None}]}, {'episode': 0, 'iteration': 2, 'search_mode': 'mcts', 'num_plans': 3, 'num_results': 3, 'num_experiences': 14, 'tree': {'total_nodes': 7, 'max_depth_reached': 1, 'expansions': 3, 'best_latency_ms': 4.284416198730469}, 'candidates': [{'solution_path': 'problems/kb_level2/30_Gemm_GroupNorm_Hardtanh_initial.py', 'latency_ms': 4.284416198730469, 'hw_metrics': None}]}]"
mcts,40_layernorm,True,1.5023078918457031,7.114751815795898,4.735881276011183,41,759555,,"[{'episode': 0, 'iteration': 1, 'search_mode': 'mcts', 'num_plans': 2, 'num_results': 2, 'num_experiences': 11, 'tree': {'total_nodes': 12, 'max_depth_reached': 2, 'expansions': 2, 'best_latency_ms': 1.3301759958267212}, 'candidates': [{'solution_path': 'problems/kb_level1/40_layernorm_initial.py', 'latency_ms': 1.3301759958267212, 'hw_metrics': None}]}, {'episode': 0, 'iteration': 2, 'search_mode': 'mcts', 'num_plans': 4, 'num_results': 4, 'num_experiences': 16, 'tree': {'total_nodes': 19, 'max_depth_reached': 3, 'expansions': 4, 'best_latency_ms': 1.3301759958267212}, 'candidates': [{'solution_path': 'problems/kb_level1/40_layernorm_initial.py', 'latency_ms': 1.3301759958267212, 'hw_metrics': None}]}]"
mcts,42_max_pooling_2d,True,8.379024658203125,18.199039459228516,2.171975880439918,31,602457,,"[{'episode': 0, 'iteration': 1, 'search_mode': 'mcts', 'num_plans': 2, 'num_results': 2, 'num_experiences': 10, 'tree': {'total_nodes': 9, 'max_depth_reached': 2, 'expansions': 2, 'best_latency_ms': 8.287232398986816}, 'candidates': [{'solution_path': 'problems/kb_level1/42_max_pooling_2d_initial.py', 'latency_ms': 8.287232398986816, 'hw_metrics': None}]}, {'episode': 0, 'iteration': 2, 'search_mode': 'mcts', 'num_plans': 4, 'num_results': 4, 'num_experiences': 16, 'tree': {'total_nodes': 13, 'max_depth_reached': 3, 'expansions': 4, 'best_latency_ms': 8.287232398986816}, 'candidates': [{'solution_path': 'problems/kb_level1/42_max_pooling_2d_initial.py', 'latency_ms': 8.287232398986816, 'hw_metrics': None}]}]"
mcts,50_conv_standard_2d_square_input_square_kernel,True,4.450754699707031,4.639743804931641,1.0424622604424931,29,611229,,"[{'episode': 0, 'iteration': 1, 'search_mode': 'mcts', 'num_plans': 2, 'num_results': 2, 'num_experiences': 12, 'tree': {'total_nodes': 7, 'max_depth_reached': 2, 'expansions': 2, 'best_latency_ms': 4.048895835876465}, 'candidates': [{'solution_path': 'problems/kb_level1/50_conv_standard_2d_square_input_square_kernel_initial.py', 'latency_ms': 4.048895835876465, 'hw_metrics': None}]}]"
mcts,62_Matmul_GroupNorm_LeakyReLU_Sum,True,2.3456687927246094,7.580671787261963,3.231774157875307,45,506445,,"[{'episode': 0, 'iteration': 1, 'search_mode': 'mcts', 'num_plans': 2, 'num_results': 2, 'num_experiences': 12, 'tree': {'total_nodes': 15, 'max_depth_reached': 2, 'expansions': 2, 'best_latency_ms': 2.8692479133605957}, 'candidates': [{'solution_path': 'problems/kb_level2/62_Matmul_GroupNorm_LeakyReLU_Sum_initial.py', 'latency_ms': 2.8692479133605957, 'hw_metrics': None}]}, {'episode': 0, 'iteration': 2, 'search_mode': 'mcts', 'num_plans': 4, 'num_results': 4, 'num_experiences': 16, 'tree': {'total_nodes': 29, 'max_depth_reached': 3, 'expansions': 4, 'best_latency_ms': 2.1985280513763428}, 'candidates': [{'solution_path': 'problems/kb_level2/62_Matmul_GroupNorm_LeakyReLU_Sum_initial.py', 'latency_ms': 2.1985280513763428, 'hw_metrics': None}]}]"
mcts,76_Gemm_Add_ReLU,True,2.196500549316406,6.919664144515991,3.1503129587969037,70,713801,,"[{'episode': 0, 'iteration': 1, 'search_mode': 'mcts', 'num_plans': 2, 'num_results': 2, 'num_experiences': 10, 'tree': {'total_nodes': 15, 'max_depth_reached': 2, 'expansions': 2, 'best_latency_ms': 4.145279884338379}, 'candidates': [{'solution_path': 'problems/kb_level2/76_Gemm_Add_ReLU_initial.py', 'latency_ms': 4.145279884338379, 'hw_metrics': None}]}, {'episode': 0, 'iteration': 2, 'search_mode': 'mcts', 'num_plans': 4, 'num_results': 4, 'num_experiences': 16, 'tree': {'total_nodes': 29, 'max_depth_reached': 3, 'expansions': 4, 'best_latency_ms': 2.085312008857727}, 'candidates': [{'solution_path': 'problems/kb_level2/76_Gemm_Add_ReLU_initial.py', 'latency_ms': 2.085312008857727, 'hw_metrics': None}]}, {'episode': 0, 'iteration': 3, 'search_mode': 'mcts', 'num_plans': 6, 'num_results': 6, 'num_experiences': 16, 'tree': {'total_nodes': 36, 'max_depth_reached': 3, 'expansions': 6, 'best_latency_ms': 2.0490241050720215}, 'candidates': [{'solution_path': 'problems/kb_level2/76_Gemm_Add_ReLU_initial.py', 'latency_ms': 2.0490241050720215, 'hw_metrics': None}]}, {'episode': 0, 'iteration': 4, 'search_mode': 'mcts', 'num_plans': 7, 'num_results': 7, 'num_experiences': 16, 'tree': {'total_nodes': 36, 'max_depth_reached': 3, 'expansions': 7, 'best_latency_ms': 2.0490241050720215}, 'candidates': [{'solution_path': 'problems/kb_level2/76_Gemm_Add_ReLU_initial.py', 'latency_ms': 2.0490241050720215, 'hw_metrics': None}]}]"
mcts,88_mingptnewgelu,True,0.6365900802612304,5.7139201164245605,8.975823365139153,66,727749,,"[{'episode': 0, 'iteration': 1, 'search_mode': 'mcts', 'num_plans': 2, 'num_results': 2, 'num_experiences': 6, 'tree': {'total_nodes': 9, 'max_depth_reached': 2, 'expansions': 2, 'best_latency_ms': 0.6369280219078064}, 'candidates': [{'solution_path': 'problems/kb_level1/88_mingptnewgelu_initial.py', 'latency_ms': 0.6369280219078064, 'hw_metrics': None}]}, {'episode': 0, 'iteration': 2, 'search_mode': 'mcts', 'num_plans': 4, 'num_results': 4, 'num_experiences': 9, 'tree': {'total_nodes': 17, 'max_depth_reached': 3, 'expansions': 4, 'best_latency_ms': 0.6369280219078064}, 'candidates': [{'solution_path': 'problems/kb_level1/88_mingptnewgelu_initial.py', 'latency_ms': 0.6369280219078064, 'hw_metrics': None}]}, {'episode': 0, 'iteration': 3, 'search_mode': 'mcts', 'num_plans': 6, 'num_results': 6, 'num_experiences': 13, 'tree': {'total_nodes': 24, 'max_depth_reached': 3, 'expansions': 6, 'best_latency_ms': 0.6369280219078064}, 'candidates': [{'solution_path': 'problems/kb_level1/88_mingptnewgelu_initial.py', 'latency_ms': 0.6369280219078064, 'hw_metrics': None}]}, {'episode': 0, 'iteration': 4, 'search_mode': 'mcts', 'num_plans': 8, 'num_results': 8, 'num_experiences': 16, 'tree': {'total_nodes': 31, 'max_depth_reached': 4, 'expansions': 8, 'best_latency_ms': 0.6369280219078064}, 'candidates': [{'solution_path': 'problems/kb_level1/88_mingptnewgelu_initial.py', 'latency_ms': 0.6369280219078064, 'hw_metrics': None}]}, {'episode': 0, 'iteration': 5, 'search_mode': 'mcts', 'num_plans': 10, 'num_results': 10, 'num_experiences': 16, 'tree': {'total_nodes': 39, 'max_depth_reached': 4, 'expansions': 10, 'best_latency_ms': 0.6369280219078064}, 'candidates': [{'solution_path': 'problems/kb_level1/88_mingptnewgelu_initial.py', 'latency_ms': 0.6369280219078064, 'hw_metrics': None}]}, {'episode': 0, 'iteration': 6, 'search_mode': 'mcts', 'num_plans': 11, 'num_results': 11, 'num_experiences': 16, 'tree': {'total_nodes': 39, 'max_depth_reached': 4, 'expansions': 11, 'best_latency_ms': 0.6369280219078064}, 'candidates': [{'solution_path': 'problems/kb_level1/88_mingptnewgelu_initial.py', 'latency_ms': 0.6369280219078064, 'hw_metrics': None}]}]"
mcts,9_Matmul_Subtract_Multiply_ReLU,True,2.3931689453125,6.948352098464966,2.9034106062903344,40,705628,,"[{'episode': 0, 'iteration': 1, 'search_mode': 'mcts', 'num_plans': 2, 'num_results': 2, 'num_experiences': 9, 'tree': {'total_nodes': 14, 'max_depth_reached': 2, 'expansions': 2, 'best_latency_ms': 2.7985920906066895}, 'candidates': [{'solution_path': 'problems/kb_level2/9_Matmul_Subtract_Multiply_ReLU_initial.py', 'latency_ms': 2.7985920906066895, 'hw_metrics': None}]}, {'episode': 0, 'iteration': 2, 'search_mode': 'mcts', 'num_plans': 4, 'num_results': 4, 'num_experiences': 16, 'tree': {'total_nodes': 20, 'max_depth_reached': 3, 'expansions': 4, 'best_latency_ms': 2.142176032066345}, 'candidates': [{'solution_path': 'problems/kb_level2/9_Matmul_Subtract_Multiply_ReLU_initial.py', 'latency_ms': 2.142176032066345, 'hw_metrics': None}]}]"
