name,problem,initial_solution
1_Conv2D_ReLU_BiasAdd,problems/problems/kb_level2//1_Conv2D_ReLU_BiasAdd.json,problems/problems/kb_level2//1_Conv2D_ReLU_BiasAdd_initial.py
2_ConvTranspose2d_BiasAdd_Clamp_Scaling_Clamp_Divide,problems/problems/kb_level2//2_ConvTranspose2d_BiasAdd_Clamp_Scaling_Clamp_Divide.json,problems/problems/kb_level2//2_ConvTranspose2d_BiasAdd_Clamp_Scaling_Clamp_Divide_initial.py
3_ConvTranspose3d_Sum_LayerNorm_AvgPool_GELU,problems/problems/kb_level2//3_ConvTranspose3d_Sum_LayerNorm_AvgPool_GELU.json,problems/problems/kb_level2//3_ConvTranspose3d_Sum_LayerNorm_AvgPool_GELU_initial.py
4_Conv2d_Mish_Mish,problems/problems/kb_level2//4_Conv2d_Mish_Mish.json,problems/problems/kb_level2//4_Conv2d_Mish_Mish_initial.py
5_ConvTranspose2d_Subtract_Tanh,problems/problems/kb_level2//5_ConvTranspose2d_Subtract_Tanh.json,problems/problems/kb_level2//5_ConvTranspose2d_Subtract_Tanh_initial.py
6_Conv3d_Softmax_MaxPool_MaxPool,problems/problems/kb_level2//6_Conv3d_Softmax_MaxPool_MaxPool.json,problems/problems/kb_level2//6_Conv3d_Softmax_MaxPool_MaxPool_initial.py
7_Conv3d_ReLU_LeakyReLU_GELU_Sigmoid_BiasAdd,problems/problems/kb_level2//7_Conv3d_ReLU_LeakyReLU_GELU_Sigmoid_BiasAdd.json,problems/problems/kb_level2//7_Conv3d_ReLU_LeakyReLU_GELU_Sigmoid_BiasAdd_initial.py
8_Conv3d_Divide_Max_GlobalAvgPool_BiasAdd_Sum,problems/problems/kb_level2//8_Conv3d_Divide_Max_GlobalAvgPool_BiasAdd_Sum.json,problems/problems/kb_level2//8_Conv3d_Divide_Max_GlobalAvgPool_BiasAdd_Sum_initial.py
9_Matmul_Subtract_Multiply_ReLU,problems/problems/kb_level2//9_Matmul_Subtract_Multiply_ReLU.json,problems/problems/kb_level2//9_Matmul_Subtract_Multiply_ReLU_initial.py
10_ConvTranspose2d_MaxPool_Hardtanh_Mean_Tanh,problems/problems/kb_level2//10_ConvTranspose2d_MaxPool_Hardtanh_Mean_Tanh.json,problems/problems/kb_level2//10_ConvTranspose2d_MaxPool_Hardtanh_Mean_Tanh_initial.py
11_ConvTranspose2d_BatchNorm_Tanh_MaxPool_GroupNorm,problems/problems/kb_level2//11_ConvTranspose2d_BatchNorm_Tanh_MaxPool_GroupNorm.json,problems/problems/kb_level2//11_ConvTranspose2d_BatchNorm_Tanh_MaxPool_GroupNorm_initial.py
12_Gemm_Multiply_LeakyReLU,problems/problems/kb_level2//12_Gemm_Multiply_LeakyReLU.json,problems/problems/kb_level2//12_Gemm_Multiply_LeakyReLU_initial.py
13_ConvTranspose3d_Mean_Add_Softmax_Tanh_Scaling,problems/problems/kb_level2//13_ConvTranspose3d_Mean_Add_Softmax_Tanh_Scaling.json,problems/problems/kb_level2//13_ConvTranspose3d_Mean_Add_Softmax_Tanh_Scaling_initial.py
14_Gemm_Divide_Sum_Scaling,problems/problems/kb_level2//14_Gemm_Divide_Sum_Scaling.json,problems/problems/kb_level2//14_Gemm_Divide_Sum_Scaling_initial.py
15_ConvTranspose3d_BatchNorm_Subtract,problems/problems/kb_level2//15_ConvTranspose3d_BatchNorm_Subtract.json,problems/problems/kb_level2//15_ConvTranspose3d_BatchNorm_Subtract_initial.py
16_ConvTranspose2d_Mish_Add_Hardtanh_Scaling,problems/problems/kb_level2//16_ConvTranspose2d_Mish_Add_Hardtanh_Scaling.json,problems/problems/kb_level2//16_ConvTranspose2d_Mish_Add_Hardtanh_Scaling_initial.py
17_Conv2d_InstanceNorm_Divide,problems/problems/kb_level2//17_Conv2d_InstanceNorm_Divide.json,problems/problems/kb_level2//17_Conv2d_InstanceNorm_Divide_initial.py
18_Matmul_Sum_Max_AvgPool_LogSumExp_LogSumExp,problems/problems/kb_level2//18_Matmul_Sum_Max_AvgPool_LogSumExp_LogSumExp.json,problems/problems/kb_level2//18_Matmul_Sum_Max_AvgPool_LogSumExp_LogSumExp_initial.py
19_ConvTranspose2d_GELU_GroupNorm,problems/problems/kb_level2//19_ConvTranspose2d_GELU_GroupNorm.json,problems/problems/kb_level2//19_ConvTranspose2d_GELU_GroupNorm_initial.py
20_ConvTranspose3d_Sum_ResidualAdd_Multiply_ResidualAdd,problems/problems/kb_level2//20_ConvTranspose3d_Sum_ResidualAdd_Multiply_ResidualAdd.json,problems/problems/kb_level2//20_ConvTranspose3d_Sum_ResidualAdd_Multiply_ResidualAdd_initial.py
21_Conv2d_Add_Scale_Sigmoid_GroupNorm,problems/problems/kb_level2//21_Conv2d_Add_Scale_Sigmoid_GroupNorm.json,problems/problems/kb_level2//21_Conv2d_Add_Scale_Sigmoid_GroupNorm_initial.py
22_Matmul_Scale_ResidualAdd_Clamp_LogSumExp_Mish,problems/problems/kb_level2//22_Matmul_Scale_ResidualAdd_Clamp_LogSumExp_Mish.json,problems/problems/kb_level2//22_Matmul_Scale_ResidualAdd_Clamp_LogSumExp_Mish_initial.py
23_Conv3d_GroupNorm_Mean,problems/problems/kb_level2//23_Conv3d_GroupNorm_Mean.json,problems/problems/kb_level2//23_Conv3d_GroupNorm_Mean_initial.py
24_Conv3d_Min_Softmax,problems/problems/kb_level2//24_Conv3d_Min_Softmax.json,problems/problems/kb_level2//24_Conv3d_Min_Softmax_initial.py
25_Conv2d_Min_Tanh_Tanh,problems/problems/kb_level2//25_Conv2d_Min_Tanh_Tanh.json,problems/problems/kb_level2//25_Conv2d_Min_Tanh_Tanh_initial.py
26_ConvTranspose3d_Add_HardSwish,problems/problems/kb_level2//26_ConvTranspose3d_Add_HardSwish.json,problems/problems/kb_level2//26_ConvTranspose3d_Add_HardSwish_initial.py
27_Conv3d_HardSwish_GroupNorm_Mean,problems/problems/kb_level2//27_Conv3d_HardSwish_GroupNorm_Mean.json,problems/problems/kb_level2//27_Conv3d_HardSwish_GroupNorm_Mean_initial.py
28_BMM_InstanceNorm_Sum_ResidualAdd_Multiply,problems/problems/kb_level2//28_BMM_InstanceNorm_Sum_ResidualAdd_Multiply.json,problems/problems/kb_level2//28_BMM_InstanceNorm_Sum_ResidualAdd_Multiply_initial.py
29_Matmul_Mish_Mish,problems/problems/kb_level2//29_Matmul_Mish_Mish.json,problems/problems/kb_level2//29_Matmul_Mish_Mish_initial.py
30_Gemm_GroupNorm_Hardtanh,problems/problems/kb_level2//30_Gemm_GroupNorm_Hardtanh.json,problems/problems/kb_level2//30_Gemm_GroupNorm_Hardtanh_initial.py
31_Conv2d_Min_Add_Multiply,problems/problems/kb_level2//31_Conv2d_Min_Add_Multiply.json,problems/problems/kb_level2//31_Conv2d_Min_Add_Multiply_initial.py
32_Conv2d_Scaling_Min,problems/problems/kb_level2//32_Conv2d_Scaling_Min.json,problems/problems/kb_level2//32_Conv2d_Scaling_Min_initial.py
33_Gemm_Scale_BatchNorm,problems/problems/kb_level2//33_Gemm_Scale_BatchNorm.json,problems/problems/kb_level2//33_Gemm_Scale_BatchNorm_initial.py
34_ConvTranspose3d_LayerNorm_GELU_Scaling,problems/problems/kb_level2//34_ConvTranspose3d_LayerNorm_GELU_Scaling.json,problems/problems/kb_level2//34_ConvTranspose3d_LayerNorm_GELU_Scaling_initial.py
35_Conv2d_Subtract_HardSwish_MaxPool_Mish,problems/problems/kb_level2//35_Conv2d_Subtract_HardSwish_MaxPool_Mish.json,problems/problems/kb_level2//35_Conv2d_Subtract_HardSwish_MaxPool_Mish_initial.py
36_ConvTranspose2d_Min_Sum_GELU_Add,problems/problems/kb_level2//36_ConvTranspose2d_Min_Sum_GELU_Add.json,problems/problems/kb_level2//36_ConvTranspose2d_Min_Sum_GELU_Add_initial.py
37_Matmul_Swish_Sum_GroupNorm,problems/problems/kb_level2//37_Matmul_Swish_Sum_GroupNorm.json,problems/problems/kb_level2//37_Matmul_Swish_Sum_GroupNorm_initial.py
38_ConvTranspose3d_AvgPool_Clamp_Softmax_Multiply,problems/problems/kb_level2//38_ConvTranspose3d_AvgPool_Clamp_Softmax_Multiply.json,problems/problems/kb_level2//38_ConvTranspose3d_AvgPool_Clamp_Softmax_Multiply_initial.py
39_Gemm_Scale_BatchNorm,problems/problems/kb_level2//39_Gemm_Scale_BatchNorm.json,problems/problems/kb_level2//39_Gemm_Scale_BatchNorm_initial.py
40_Matmul_Scaling_ResidualAdd,problems/problems/kb_level2//40_Matmul_Scaling_ResidualAdd.json,problems/problems/kb_level2//40_Matmul_Scaling_ResidualAdd_initial.py
41_Gemm_BatchNorm_GELU_ReLU,problems/problems/kb_level2//41_Gemm_BatchNorm_GELU_ReLU.json,problems/problems/kb_level2//41_Gemm_BatchNorm_GELU_ReLU_initial.py
42_ConvTranspose2d_GlobalAvgPool_BiasAdd_LogSumExp_Sum_Multiply,problems/problems/kb_level2//42_ConvTranspose2d_GlobalAvgPool_BiasAdd_LogSumExp_Sum_Multiply.json,problems/problems/kb_level2//42_ConvTranspose2d_GlobalAvgPool_BiasAdd_LogSumExp_Sum_Multiply_initial.py
43_Conv3d_Max_LogSumExp_ReLU,problems/problems/kb_level2//43_Conv3d_Max_LogSumExp_ReLU.json,problems/problems/kb_level2//43_Conv3d_Max_LogSumExp_ReLU_initial.py
44_ConvTranspose2d_Multiply_GlobalAvgPool_GlobalAvgPool_Mean,problems/problems/kb_level2//44_ConvTranspose2d_Multiply_GlobalAvgPool_GlobalAvgPool_Mean.json,problems/problems/kb_level2//44_ConvTranspose2d_Multiply_GlobalAvgPool_GlobalAvgPool_Mean_initial.py
45_Gemm_Sigmoid_LogSumExp,problems/problems/kb_level2//45_Gemm_Sigmoid_LogSumExp.json,problems/problems/kb_level2//45_Gemm_Sigmoid_LogSumExp_initial.py
46_Conv2d_Subtract_Tanh_Subtract_AvgPool,problems/problems/kb_level2//46_Conv2d_Subtract_Tanh_Subtract_AvgPool.json,problems/problems/kb_level2//46_Conv2d_Subtract_Tanh_Subtract_AvgPool_initial.py
47_Conv3d_Mish_Tanh,problems/problems/kb_level2//47_Conv3d_Mish_Tanh.json,problems/problems/kb_level2//47_Conv3d_Mish_Tanh_initial.py
48_Conv3d_Scaling_Tanh_Multiply_Sigmoid,problems/problems/kb_level2//48_Conv3d_Scaling_Tanh_Multiply_Sigmoid.json,problems/problems/kb_level2//48_Conv3d_Scaling_Tanh_Multiply_Sigmoid_initial.py
49_ConvTranspose3d_Softmax_Sigmoid,problems/problems/kb_level2//49_ConvTranspose3d_Softmax_Sigmoid.json,problems/problems/kb_level2//49_ConvTranspose3d_Softmax_Sigmoid_initial.py
50_ConvTranspose3d_Scaling_AvgPool_BiasAdd_Scaling,problems/problems/kb_level2//50_ConvTranspose3d_Scaling_AvgPool_BiasAdd_Scaling.json,problems/problems/kb_level2//50_ConvTranspose3d_Scaling_AvgPool_BiasAdd_Scaling_initial.py
51_Gemm_Subtract_GlobalAvgPool_LogSumExp_GELU_ResidualAdd,problems/problems/kb_level2//51_Gemm_Subtract_GlobalAvgPool_LogSumExp_GELU_ResidualAdd.json,problems/problems/kb_level2//51_Gemm_Subtract_GlobalAvgPool_LogSumExp_GELU_ResidualAdd_initial.py
52_Conv2d_Activation_BatchNorm,problems/problems/kb_level2//52_Conv2d_Activation_BatchNorm.json,problems/problems/kb_level2//52_Conv2d_Activation_BatchNorm_initial.py
53_Gemm_Scaling_Hardtanh_GELU,problems/problems/kb_level2//53_Gemm_Scaling_Hardtanh_GELU.json,problems/problems/kb_level2//53_Gemm_Scaling_Hardtanh_GELU_initial.py
54_Conv2d_Multiply_LeakyReLU_GELU,problems/problems/kb_level2//54_Conv2d_Multiply_LeakyReLU_GELU.json,problems/problems/kb_level2//54_Conv2d_Multiply_LeakyReLU_GELU_initial.py
55_Matmul_MaxPool_Sum_Scale,problems/problems/kb_level2//55_Matmul_MaxPool_Sum_Scale.json,problems/problems/kb_level2//55_Matmul_MaxPool_Sum_Scale_initial.py
